Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment
39,1,72.99,3,1,2,312
164,1,79.99,1,1,2,112
25,1,310.0,3,1,3,313
8,1,45.97,3,1,1,311
30,1,169.0,3,1,3,313
42,1,265.0,3,1,3,313
225,1,259.0,1,1,3,113
105,1,34.9,2,1,1,211
231,1,1554.0,1,1,3,113
85,1,102.8,2,1,2,212
112,1,140.0,2,1,3,213
188,1,28.49,1,1,1,111
39,1,129.0,3,1,3,313
206,1,130.0,1,1,3,113
119,1,85.0,2,1,2,212
21,1,79.99,3,1,2,312
92,1,119.9,2,1,2,212
239,1,72.0,1,1,2,112
236,1,24.99,1,1,1,111
200,1,218.0,1,1,3,113
109,1,69.0,2,1,2,212
149,1,65.6,2,1,2,212
171,1,48.9,1,1,1,111
63,1,360.0,3,1,3,313
140,1,224.5,2,1,3,213
228,1,79.5,1,1,2,112
96,1,84.0,2,1,2,212
189,1,75.0,1,1,2,112
117,1,103.9,2,1,2,212
97,1,62.9,2,1,2,212
115,1,199.0,2,1,3,213
203,1,35.99,1,1,1,111
14,1,177.0,3,1,3,313
22,1,13.99,3,1,1,311
25,1,59.9,3,1,2,312
195,1,398.0,1,1,3,113
25,1,298.0,3,1,3,313
0,1,109.9,3,1,2,312
77,1,295.0,3,1,3,313
85,1,79.0,2,1,2,212
86,1,14.99,2,1,1,211
19,1,29.99,3,1,1,311
103,1,149.9,2,1,3,213
217,1,89.0,1,1,2,112
215,1,109.99,1,1,2,112
36,1,49.9,3,1,1,311
214,1,389.0,1,1,3,113
101,1,134.9,2,1,3,213
28,1,79.9,3,1,2,312
13,1,12.5,3,1,1,311
69,1,169.9,3,1,3,313
125,1,656.43,2,1,3,213
167,1,16.0,1,1,1,111
159,1,59.0,2,1,2,212
140,1,120.0,2,1,2,212
